char_id,ontology,list_of_finest_character
130,hao,"http://purl.obolibrary.org/obo/HAO_0000128"
130,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
131,hao,"http://purl.obolibrary.org/obo/HAO_0000647"
131,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
132,hao,"http://purl.obolibrary.org/obo/HAO_0000647,http://purl.obolibrary.org/obo/HAO_0001027"
132,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
133,hao,"http://purl.obolibrary.org/obo/HAO_0000694"
133,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
134,hao,"http://purl.obolibrary.org/obo/HAO_0000697"
134,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
135,hao,"http://purl.obolibrary.org/obo/HAO_0001204"
135,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
136,hao,"http://purl.obolibrary.org/obo/HAO_0002502"
136,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
137,hao,"http://purl.obolibrary.org/obo/HAO_0000252"
137,pato,"http://purl.obolibrary.org/obo/PATO_0000117"
138,hao,"http://purl.obolibrary.org/obo/HAO_0000156"
138,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
139,hao,"http://purl.obolibrary.org/obo/HAO_0000155"
139,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
140,hao,"http://purl.obolibrary.org/obo/HAO_0001481"
140,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
141,hao,"http://purl.obolibrary.org/obo/HAO_0000919"
141,pato,"http://purl.obolibrary.org/obo/PATO_0000141"
142,hao,"http://purl.obolibrary.org/obo/HAO_0000574,http://purl.obolibrary.org/obo/HAO_0000188"
142,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
143,hao,"http://purl.obolibrary.org/obo/HAO_0002502,http://purl.obolibrary.org/obo/HAO_0000918"
143,pato," http://purl.obolibrary.org/obo/PATO_0000140"
144,hao,"http://purl.obolibrary.org/obo/HAO_0002503"
144,hao,"http://purl.obolibrary.org/obo/PATO_0000070"
145,hao,"http://purl.obolibrary.org/obo/HAO_0002504"
145,hao,"http://purl.obolibrary.org/obo/PATO_0000070"
146,hao,"http://purl.obolibrary.org/obo/HAO_0000574"
146,pato,"http://purl.obolibrary.org/obo/PATO_0000141"
147,hao,"http://purl.obolibrary.org/obo/HAO_0000355"
147,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
148,hao,"http://purl.obolibrary.org/obo/HAO_0000757"
148,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
149,hao,"http://purl.obolibrary.org/obo/HAO_0000568"
149,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
150,hao,"http://purl.obolibrary.org/obo/HAO_0001903"
150,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
151,hao,"http://purl.obolibrary.org/obo/HAO_0001903"
151,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
152,hao,"http://purl.obolibrary.org/obo/HAO_0001903"
152,pato,"http://purl.obolibrary.org/obo/PATO_0000117"
153,hao,"http://purl.obolibrary.org/obo/HAO_0000881"
153,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
154,hao,"http://purl.obolibrary.org/obo/HAO_0000574,http://purl.obolibrary.org/obo/HAO_0000558"
155,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
156,hao,"http://purl.obolibrary.org/obo/HAO_0000558,http://purl.obolibrary.org/obo/HAO_0000188"
156,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
157,hao,"http://purl.obolibrary.org/obo/HAO_0001353"
